year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime
20170101,1,213.58681584199067,85.71428571428571,86.42857142857143,10206.75,95.71428571428571,2017-01-01-01
20170101,2,210.905295621144,87.14285714285714,90.71428571428571,10199.75,96.14285714285714,2017-01-01-02
20170101,3,208.5850007343894,89.28571428571429,87.85714285714286,10191.5,96.0,2017-01-01-03
20170101,4,209.97797885123614,90.0,90.0,10182.25,96.14285714285714,2017-01-01-04
20170101,5,208.54156826233717,89.28571428571429,87.14285714285714,10176.25,95.57142857142857,2017-01-01-05
20170101,6,210.7191645885927,92.14285714285714,93.57142857142857,10169.5,95.28571428571429,2017-01-01-06
20170101,7,212.13016275333501,94.28571428571429,94.28571428571429,10165.5,95.42857142857143,2017-01-01-07
20170101,8,207.9908885768584,97.14285714285714,96.42857142857143,10162.5,95.28571428571429,2017-01-01-08
20170101,9,205.74794643858948,97.14285714285714,97.85714285714286,10161.5,94.42857142857143,2017-01-01-09
20170101,10,204.3122328493749,97.14285714285714,96.42857142857143,10159.25,94.85714285714286,2017-01-01-10
20170101,11,204.29960830426026,95.71428571428571,95.0,10154.25,94.85714285714286,2017-01-01-11
20170101,12,204.33740883851024,95.71428571428571,96.42857142857143,10147.5,95.57142857142857,2017-01-01-12
20170101,13,202.89023915438628,96.42857142857143,95.0,10144.5,95.71428571428571,2017-01-01-13
20170101,14,203.57587222850952,93.57142857142857,95.0,10142.25,95.85714285714286,2017-01-01-14
20170101,15,202.50789861142073,90.71428571428571,89.28571428571429,10143.5,95.71428571428571,2017-01-01-15
20170101,16,206.37009242804322,87.14285714285714,84.28571428571429,10148.75,95.42857142857143,2017-01-01-16
20170101,17,214.16741088833376,80.0,80.0,10154.75,95.0,2017-01-01-17
20170101,18,226.13540173208133,77.14285714285714,77.85714285714286,10160.5,94.0,2017-01-01-18
20170101,19,263.2758687808842,65.0,58.57142857142857,10166.25,92.85714285714286,2017-01-01-19
20170101,20,247.66254803767174,54.285714285714285,47.857142857142854,10172.0,92.42857142857143,2017-01-01-20
20170101,21,283.6232699496537,42.857142857142854,40.0,10178.75,89.71428571428571,2017-01-01-21
20170101,22,292.57131690931476,37.857142857142854,36.42857142857143,10183.5,88.42857142857143,2017-01-01-22
20170101,23,305.32502303548307,40.0,41.42857142857143,10187.5,87.85714285714286,2017-01-01-23
20170101,24,336.3253155810638,45.714285714285715,45.0,10191.0,84.14285714285714,2017-01-01-24
20170102,1,332.8500932293609,52.857142857142854,57.857142857142854,10194.75,79.28571428571429,2017-01-02-01
20170102,2,337.46415609579793,64.28571428571429,63.57142857142857,10201.5,71.85714285714286,2017-01-02-02
20170102,3,353.79060363164416,62.857142857142854,68.57142857142857,10205.0,70.28571428571429,2017-01-02-03
20170102,4,355.21991920251094,70.0,70.71428571428571,10206.25,66.85714285714286,2017-01-02-04
20170102,5,354.46124945445047,77.14285714285714,78.57142857142857,10208.25,66.42857142857143,2017-01-02-05
20170102,6,353.4006790526079,79.28571428571429,78.57142857142857,10211.75,68.57142857142857,2017-01-02-06
20170102,7,352.7595954460522,84.28571428571429,86.42857142857143,10217.75,65.14285714285714,2017-01-02-07
20170102,8,357.57605813668954,85.0,80.71428571428571,10223.75,70.71428571428571,2017-01-02-08
20170102,9,351.9221682341577,78.57142857142857,80.71428571428571,10228.5,74.28571428571429,2017-01-02-09
20170102,10,352.29773265207695,72.14285714285714,72.85714285714286,10232.0,68.85714285714286,2017-01-02-10
20170102,11,346.44295083330644,74.28571428571429,77.14285714285714,10235.5,69.85714285714286,2017-01-02-11
20170102,12,341.4271828063716,77.14285714285714,74.28571428571429,10235.75,71.42857142857143,2017-01-02-12
20170102,13,337.1397139999643,75.71428571428571,76.42857142857143,10236.5,72.42857142857143,2017-01-02-13
20170102,14,333.54070654538225,70.71428571428571,65.0,10236.0,76.28571428571429,2017-01-02-14
20170102,15,322.8559684194123,65.71428571428571,73.57142857142857,10235.75,75.57142857142857,2017-01-02-15
20170102,16,321.13337161044404,75.0,71.42857142857143,10238.75,78.0,2017-01-02-16
20170102,17,309.7499489492323,72.14285714285714,75.71428571428571,10240.0,78.85714285714286,2017-01-02-17
20170102,18,315.188370114092,77.14285714285714,76.42857142857143,10242.0,78.57142857142857,2017-01-02-18
20170102,19,311.62635900111405,75.0,70.71428571428571,10242.75,78.85714285714286,2017-01-02-19
20170102,20,302.80803565399714,70.71428571428571,70.0,10243.75,80.42857142857143,2017-01-02-20
20170102,21,301.68654337331805,69.28571428571429,69.28571428571429,10243.25,80.57142857142857,2017-01-02-21
20170102,22,298.6046230887716,68.57142857142857,69.28571428571429,10242.75,81.28571428571429,2017-01-02-22
20170102,23,288.27147258608414,65.0,68.57142857142857,10241.5,81.28571428571429,2017-01-02-23
20170102,24,284.4283529140295,68.57142857142857,70.71428571428571,10238.25,83.42857142857143,2017-01-02-24
20170103,1,288.05598644912806,72.14285714285714,69.28571428571429,10237.25,83.28571428571429,2017-01-03-01
20170103,2,292.87456297583736,72.14285714285714,74.28571428571429,10239.0,81.57142857142857,2017-01-03-02
20170103,3,288.61328124429417,71.42857142857143,72.85714285714286,10238.5,80.28571428571429,2017-01-03-03
20170103,4,281.44603948098256,71.42857142857143,72.85714285714286,10234.75,81.71428571428571,2017-01-03-04
20170103,5,272.86210673567535,72.14285714285714,72.85714285714286,10228.0,81.28571428571429,2017-01-03-05
20170103,6,268.61376599941184,76.42857142857143,80.0,10226.25,83.28571428571429,2017-01-03-06
20170103,7,269.28549524199764,82.14285714285714,83.57142857142857,10224.25,84.57142857142857,2017-01-03-07
20170103,8,266.0512885008444,87.14285714285714,87.85714285714286,10223.75,83.28571428571429,2017-01-03-08
20170103,9,264.35641174834973,88.57142857142857,92.85714285714286,10221.75,82.42857142857143,2017-01-03-09
20170103,10,264.29960830426023,95.0,95.71428571428571,10217.5,80.57142857142857,2017-01-03-10
