year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20170101,1,207.7081942551015,49.66666666666666,49.66666666666666,10234.526315789471,98.07692307692308,2017-01-01-01,679334,679334,0.7887300252914429,0,0,2017-01-01-01
20170101,2,205.0103205634133,50.0,51.333333333333336,10227.78947368421,98.15384615384616,2017-01-01-02,677462,677462,0.7865579724311829,0,0,2017-01-01-02
20170101,3,202.70100649571697,51.66666666666666,51.0,10219.473684210529,98.23076923076924,2017-01-01-03,653746,653746,0.759024977684021,0,0,2017-01-01-03
20170101,4,201.00755303410864,52.333333333333336,54.66666666666666,10211.368421052632,98.03846153846152,2017-01-01-04,705882,705882,0.8195520043373108,0,0,2017-01-01-04
20170101,5,200.32501470984096,52.66666666666666,53.333333333333336,10203.526315789471,97.46153846153848,2017-01-01-05,716738,716738,0.8321580290794373,0,0,2017-01-01-05
20170101,6,199.65496922489456,53.333333333333336,53.333333333333336,10197.684210526317,96.8076923076923,2017-01-01-06,751456,751456,0.8724669814109802,0,0,2017-01-01-06
20170101,7,200.66799300759493,53.66666666666666,52.333333333333336,10191.78947368421,96.84615384615384,2017-01-01-07,754200,754200,0.8756530284881592,0,0,2017-01-01-07
20170101,8,203.03157920264803,54.0,55.333333333333336,10189.578947368422,96.6153846153846,2017-01-01-08,762765,762765,0.8855980038642883,0,0,2017-01-01-08
20170101,9,203.9727806640064,54.0,55.0,10187.842105263158,96.53846153846152,2017-01-01-09,758022,758022,0.8800899982452393,0,0,2017-01-01-09
20170101,10,204.6875805609112,58.0,59.0,10184.052631578948,95.53846153846152,2017-01-01-10,752919,752919,0.8741629719734192,0,0,2017-01-01-10
20170101,11,207.95582825249397,59.0,59.0,10179.421052631578,95.15384615384616,2017-01-01-11,771684,771684,0.8959540128707886,0,0,2017-01-01-11
20170101,12,206.619297402904,59.0,60.0,10173.631578947368,94.46153846153848,2017-01-01-12,749425,749425,0.8701069951057434,0,0,2017-01-01-12
20170101,13,206.91097146883425,58.333333333333336,60.0,10169.842105263158,94.03846153846152,2017-01-01-13,755553,755553,0.8772249817848206,0,0,2017-01-01-13
20170101,14,201.66025542241545,58.0,57.66666666666666,10167.368421052632,94.6153846153846,2017-01-01-14,687834,687834,0.7986019849777222,0,0,2017-01-01-14
20170101,15,199.6532068198558,56.333333333333336,58.0,10166.736842105263,94.96153846153848,2017-01-01-15,404030,404030,0.46909299492836,0,0,2017-01-01-15
20170101,16,200.663226467336,56.0,55.66666666666666,10166.947368421052,94.57692307692308,2017-01-01-16,283064,283064,0.3286449909210205,0,0,2017-01-01-16
20170101,17,204.16115151460048,53.333333333333336,51.66666666666666,10168.0,94.73076923076924,2017-01-01-17,367659,367659,0.4268659949302673,0,0,2017-01-01-17
20170101,18,209.237638119456,50.0,48.333333333333336,10169.578947368422,94.6153846153846,2017-01-01-18,313606,313606,0.3641059994697571,0,0,2017-01-01-18
20170101,19,215.2950340635831,47.333333333333336,46.0,10173.105263157897,94.92307692307692,2017-01-01-19,177938,177938,0.2065940052270889,0,0,2017-01-01-19
20170101,20,223.36701189899784,43.66666666666666,42.333333333333336,10177.842105263158,95.3846153846154,2017-01-01-20,154741,154741,0.1796569973230362,0,0,2017-01-01-20
20170101,21,230.1210882502216,39.333333333333336,37.333333333333336,10183.736842105263,96.0,2017-01-01-21,186714,186714,0.2167830020189285,0,0,2017-01-01-21
20170101,22,239.2812265977687,33.333333333333336,34.333333333333336,10187.894736842103,96.26923076923076,2017-01-01-22,537081,537081,0.62357097864151,0,0,2017-01-01-22
20170101,23,240.2044827320701,31.666666666666668,31.0,10191.473684210529,96.73076923076924,2017-01-01-23,676558,676558,0.7855089902877808,0,0,2017-01-01-23
20170101,24,241.138598479315,30.0,31.666666666666668,10193.578947368422,96.8076923076923,2017-01-01-24,773296,773296,0.8978250026702881,0,0,2017-01-01-24
20170102,1,249.91677166540117,29.33333333333333,30.666666666666668,10196.21052631579,96.1153846153846,2017-01-02-01,783992,783992,0.9102420210838318,0,0,2017-01-02-01
20170102,2,267.9233906049067,31.0,31.33333333333333,10202.315789473683,94.8846153846154,2017-01-02-02,822015,822015,0.9543889760971068,0,0,2017-01-02-02
20170102,3,281.14613474728515,29.33333333333333,28.666666666666668,10205.052631578948,93.46153846153848,2017-01-02-03,851133,851133,0.9881970286369324,0,0,2017-01-02-03
20170102,4,282.6526065736821,26.666666666666668,28.33333333333333,10207.0,92.07692307692308,2017-01-02-04,848330,848330,0.9849420189857484,0,0,2017-01-02-04
20170102,5,291.36578590972204,28.0,26.666666666666668,10209.842105263158,90.73076923076924,2017-01-02-05,847069,847069,0.9834759831428528,0,0,2017-01-02-05
20170102,6,293.93687716101994,26.666666666666668,27.33333333333333,10211.421052631578,90.57692307692308,2017-01-02-06,839902,839902,0.975158989429474,0,0,2017-01-02-06
20170102,7,297.7840823795839,30.33333333333333,33.666666666666664,10217.315789473683,88.5,2017-01-02-07,832032,832032,0.9660189747810364,0,0,2017-01-02-07
20170102,8,309.967238422369,34.333333333333336,32.0,10225.157894736842,87.92307692307692,2017-01-02-08,827969,827969,0.9612990021705629,0,0,2017-01-02-08
20170102,9,304.3064461100888,30.666666666666668,28.666666666666668,10230.315789473683,88.03846153846153,2017-01-02-09,827964,827964,0.9612939953804016,0,0,2017-01-02-09
20170102,10,308.84019999391563,29.666666666666668,30.0,10234.473684210529,84.92307692307692,2017-01-02-10,798299,798299,0.9268530011177064,0,0,2017-01-02-10
20170102,11,305.58280028072915,30.33333333333333,33.666666666666664,10236.473684210529,81.15384615384616,2017-01-02-11,764860,764860,0.8880280256271362,0,0,2017-01-02-11
20170102,12,314.0115004846902,38.0,40.333333333333336,10237.526315789471,78.8076923076923,2017-01-02-12,800999,800999,0.9299870133399964,0,0,2017-01-02-12
20170102,13,311.3438089730568,40.0,40.66666666666666,10239.21052631579,77.92307692307692,2017-01-02-13,792888,792888,0.9205719828605652,0,0,2017-01-02-13
