year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20170101,1,213.58681584199067,85.71428571428571,86.42857142857143,10206.75,95.71428571428572,2017-01-01-01,873501,873501,1.0141650438308716,0,0,2017-01-01-01
20170101,2,210.905295621144,87.14285714285714,90.71428571428572,10199.75,96.14285714285714,2017-01-01-02,883749,883749,1.0260649919509888,0,0,2017-01-01-02
20170101,3,208.5850007343894,89.28571428571429,87.85714285714286,10191.5,96.0,2017-01-01-03,872500,872500,1.013003945350647,0,0,2017-01-01-03
20170101,4,209.97797885123612,90.0,90.0,10182.25,96.14285714285714,2017-01-01-04,889750,889750,1.033030986785889,0,0,2017-01-01-04
20170101,5,208.5415682623372,89.28571428571429,87.14285714285714,10176.25,95.57142857142856,2017-01-01-05,893251,893251,1.0370949506759644,0,0,2017-01-01-05
20170101,6,210.7191645885927,92.14285714285714,93.57142857142856,10169.5,95.28571428571428,2017-01-01-06,896751,896751,1.0411590337753296,0,0,2017-01-01-06
20170101,7,212.130162753335,94.28571428571428,94.28571428571428,10165.5,95.42857142857144,2017-01-01-07,895250,895250,1.039417028427124,0,0,2017-01-01-07
20170101,8,207.9908885768584,97.14285714285714,96.42857142857144,10162.5,95.28571428571428,2017-01-01-08,894000,894000,1.037966012954712,0,0,2017-01-01-08
20170101,9,205.74794643858948,97.14285714285714,97.85714285714286,10161.5,94.42857142857144,2017-01-01-09,887251,887251,1.0301289558410645,0,0,2017-01-01-09
20170101,10,204.3122328493749,97.14285714285714,96.42857142857144,10159.25,94.85714285714286,2017-01-01-10,890000,890000,1.033321976661682,0,0,2017-01-01-10
20170101,11,204.29960830426023,95.71428571428572,95.0,10154.25,94.85714285714286,2017-01-01-11,881751,881751,1.0237430334091189,0,0,2017-01-01-11
20170101,12,204.33740883851024,95.71428571428572,96.42857142857144,10147.5,95.57142857142856,2017-01-01-12,830751,830751,0.9645299911499025,0,0,2017-01-01-12
20170101,13,202.89023915438628,96.42857142857144,95.0,10144.5,95.71428571428572,2017-01-01-13,761250,761250,0.8838379979133606,0,0,2017-01-01-13
20170101,14,203.57587222850952,93.57142857142856,95.0,10142.25,95.85714285714286,2017-01-01-14,560751,560751,0.6510509848594666,0,0,2017-01-01-14
20170101,15,202.50789861142076,90.71428571428572,89.28571428571429,10143.5,95.71428571428572,2017-01-01-15,485751,485751,0.5639730095863342,0,0,2017-01-01-15
20170101,16,206.3700924280432,87.14285714285714,84.28571428571429,10148.75,95.42857142857144,2017-01-01-16,445250,445250,0.5169510245323181,0,0,2017-01-01-16
