,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-03 01:00:00,20170103,1,292.87456297583736,72.14285714285714,74.28571428571429,10239.0,81.57142857142857,2017-01-03-02,706000,706000,0.819691002368927,0,0,2017-01-03-02,2017-01-03,2017-01,1,861300.170380842,13.467371932904971,0.819691002368927,0.0313
2017-01-03 02:00:00,20170103,2,288.61328124429417,71.42857142857143,72.85714285714286,10238.5,80.28571428571429,2017-01-03-03,724751,724751,0.8414610028266907,0,0,2017-01-03-03,2017-01-03,2017-01,1,861300.7585204415,13.493584806352361,0.8414610028266907,0.03
2017-01-03 03:00:00,20170103,3,281.44603948098256,71.42857142857143,72.85714285714286,10234.75,81.71428571428571,2017-01-03-04,760500,760500,0.882968008518219,0,0,2017-01-03-04,2017-01-03,2017-01,1,861299.6084379744,13.541732705605012,0.882968008518219,0.0306
2017-01-03 04:00:00,20170103,4,272.8621067356753,72.14285714285714,72.85714285714286,10228.0,81.28571428571429,2017-01-03-05,826001,826001,0.9590150117874146,0,0,2017-01-03-05,2017-01-03,2017-01,1,861301.4289114175,13.62435247380769,0.9590150117874146,0.0299
2017-01-03 05:00:00,20170103,5,268.61376599941184,76.42857142857143,80.0,10226.25,83.28571428571429,2017-01-03-06,850750,850750,0.987751007080078,0,0,2017-01-03-06,2017-01-03,2017-01,1,861300.058316244,13.653874767795902,0.987751007080078,0.03
2017-01-03 06:00:00,20170103,6,269.28549524199764,82.14285714285714,83.57142857142857,10224.25,84.57142857142857,2017-01-03-07,858501,858501,0.996748983860016,0,0,2017-01-03-07,2017-01-03,2017-01,1,861301.1037898067,13.662944288961683,0.996748983860016,0.0324
2017-01-03 07:00:00,20170103,7,266.0512885008444,87.14285714285714,87.85714285714286,10223.75,83.28571428571429,2017-01-03-08,860250,860250,0.9987810254096984,0,0,2017-01-03-08,2017-01-03,2017-01,1,861299.9026960157,13.664979486111827,0.9987810254096984,0.042
2017-01-03 08:00:00,20170103,8,264.35641174834973,88.57142857142857,92.85714285714286,10221.75,82.42857142857143,2017-01-03-09,846000,846000,0.9822360277175904,0,0,2017-01-03-09,2017-01-03,2017-01,1,861300.1113040412,13.648275820620759,0.9822360277175904,0.0421
2017-01-03 09:00:00,20170103,9,264.29960830426023,95.0,95.71428571428572,10217.5,80.57142857142857,2017-01-03-10,880250,880250,1.0220019817352295,0,0,2017-01-03-10,2017-01-03,2017-01,1,861299.6997378101,13.687962373057552,1.0220019817352295,0.0417
2017-01-03 10:00:00,20170103,10,262.8838808304073,96.42857142857144,96.42857142857144,10209.25,78.71428571428571,2017-01-03-11,872500,872500,1.013003945350647,0,0,2017-01-03-11,2017-01-03,2017-01,1,861299.7056965932,13.679119079189867,1.013003945350647,0.0399
