wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,volume
213.58681584199067,85.71428571428571,86.42857142857143,10206.75,95.71428571428572,873501
210.905295621144,87.14285714285714,90.71428571428572,10199.75,96.14285714285714,883749
208.5850007343894,89.28571428571429,87.85714285714286,10191.5,96.0,872500
209.9779788512361,90.0,90.0,10182.25,96.14285714285714,889750
208.5415682623372,89.28571428571429,87.14285714285714,10176.25,95.57142857142856,893251
210.7191645885927,92.14285714285714,93.57142857142856,10169.5,95.28571428571428,896751
212.130162753335,94.28571428571428,94.28571428571428,10165.5,95.42857142857144,895250
207.9908885768584,97.14285714285714,96.42857142857144,10162.5,95.28571428571428,894000
205.74794643858948,97.14285714285714,97.85714285714286,10161.5,94.42857142857144,887251
204.3122328493749,97.14285714285714,96.42857142857144,10159.25,94.85714285714286,890000
204.29960830426023,95.71428571428572,95.0,10154.25,94.85714285714286,881751
204.33740883851024,95.71428571428572,96.42857142857144,10147.5,95.57142857142856,830751
202.89023915438628,96.42857142857144,95.0,10144.5,95.71428571428572,761250
203.57587222850952,93.57142857142856,95.0,10142.25,95.85714285714286,560751
202.5078986114208,90.71428571428572,89.28571428571429,10143.5,95.71428571428572,485751
206.3700924280432,87.14285714285714,84.28571428571429,10148.75,95.42857142857144,445250
214.16741088833376,80.0,80.0,10154.75,95.0,476001
226.13540173208133,77.14285714285714,77.85714285714286,10160.5,94.0,284000
263.2758687808842,65.0,58.57142857142857,10166.25,92.85714285714286,281750
247.6625480376717,54.285714285714285,47.85714285714285,10172.0,92.42857142857144,442250
283.6232699496537,42.85714285714285,40.0,10178.75,89.71428571428571,473501
292.5713169093148,37.85714285714285,36.42857142857143,10183.5,88.42857142857143,515251
305.32502303548307,40.0,41.42857142857143,10187.5,87.85714285714286,654000
336.3253155810638,45.71428571428572,45.0,10191.0,84.14285714285714,729500
332.8500932293609,52.85714285714285,57.85714285714285,10194.75,79.28571428571429,785750
337.46415609579793,64.28571428571429,63.57142857142857,10201.5,71.85714285714286,770750
353.79060363164416,62.85714285714285,68.57142857142857,10205.0,70.28571428571429,879500
355.21991920251094,70.0,70.71428571428571,10206.25,66.85714285714286,860751
354.46124945445047,77.14285714285714,78.57142857142857,10208.25,66.42857142857143,846499
353.4006790526079,79.28571428571429,78.57142857142857,10211.75,68.57142857142857,853750
352.7595954460522,84.28571428571429,86.42857142857143,10217.75,65.14285714285714,860251
357.57605813668954,85.0,80.71428571428571,10223.75,70.71428571428571,872750
351.9221682341577,78.57142857142857,80.71428571428571,10228.5,74.28571428571429,761001
352.29773265207695,72.14285714285714,72.85714285714286,10232.0,68.85714285714286,765501
346.44295083330644,74.28571428571429,77.14285714285714,10235.5,69.85714285714286,766250
341.4271828063716,77.14285714285714,74.28571428571429,10235.75,71.42857142857143,769749
337.1397139999643,75.71428571428571,76.42857142857143,10236.5,72.42857142857143,706250
333.54070654538225,70.71428571428571,65.0,10236.0,76.28571428571429,655500
322.8559684194123,65.71428571428571,73.57142857142857,10235.75,75.57142857142857,566001
321.13337161044404,75.0,71.42857142857143,10238.75,78.0,772250
309.7499489492323,72.14285714285714,75.71428571428571,10240.0,78.85714285714286,835500
315.188370114092,77.14285714285714,76.42857142857143,10242.0,78.57142857142857,699250
311.62635900111405,75.0,70.71428571428571,10242.75,78.85714285714286,677249
302.80803565399714,70.71428571428571,70.0,10243.75,80.42857142857143,723500
301.68654337331805,69.28571428571429,69.28571428571429,10243.25,80.57142857142857,709500
298.6046230887716,68.57142857142857,69.28571428571429,10242.75,81.28571428571429,692751
288.27147258608414,65.0,68.57142857142857,10241.5,81.28571428571429,689250
284.4283529140295,68.57142857142857,70.71428571428571,10238.25,83.42857142857143,664001
288.05598644912806,72.14285714285714,69.28571428571429,10237.25,83.28571428571429,698251
292.87456297583736,72.14285714285714,74.28571428571429,10239.0,81.57142857142857,706000
288.61328124429417,71.42857142857143,72.85714285714286,10238.5,80.28571428571429,724751
281.44603948098256,71.42857142857143,72.85714285714286,10234.75,81.71428571428571,760500
272.8621067356753,72.14285714285714,72.85714285714286,10228.0,81.28571428571429,826001
268.61376599941184,76.42857142857143,80.0,10226.25,83.28571428571429,850750
269.28549524199764,82.14285714285714,83.57142857142857,10224.25,84.57142857142857,858501
266.0512885008444,87.14285714285714,87.85714285714286,10223.75,83.28571428571429,860250
264.35641174834973,88.57142857142857,92.85714285714286,10221.75,82.42857142857143,846000
264.29960830426023,95.0,95.71428571428572,10217.5,80.57142857142857,880250
262.8838808304073,96.42857142857144,96.42857142857144,10209.25,78.71428571428571,872500
264.31208711968674,103.57142857142856,102.85714285714286,10202.25,80.57142857142857,874998
266.44591989241974,104.28571428571428,104.28571428571428,10196.5,82.57142857142857,879000
263.5758722285095,102.85714285714286,106.42857142857144,10190.25,84.85714285714286,882750
264.31208711968674,108.57142857142856,108.57142857142856,10186.75,86.57142857142857,888000
267.1566599546897,107.14285714285714,107.85714285714286,10182.0,87.0,893499
270.0217815641413,107.85714285714286,108.57142857142856,10176.25,87.85714285714286,895251
271.45838900620254,107.14285714285714,108.57142857142856,10171.25,87.57142857142857,894250
272.1784820217157,106.42857142857144,109.28571428571428,10167.5,87.57142857142857,895249
272.14262604983526,108.57142857142856,110.0,10162.25,87.0,895002
278.5727692220857,109.28571428571428,107.14285714285714,10158.25,87.0,894751
282.14262604983526,107.85714285714286,106.42857142857144,10153.25,88.28571428571429,894500
285.0109028983863,107.85714285714286,108.57142857142856,10148.0,88.85714285714286,895001
287.1566599546897,109.28571428571428,110.71428571428572,10143.25,86.42857142857143,895251
294.9560534995388,112.85714285714286,112.14285714285714,10139.0,84.57142857142857,888751
296.3611127209144,112.85714285714286,111.42857142857144,10135.5,83.57142857142857,879498
306.4333083327768,117.85714285714286,119.28571428571428,10134.5,76.0,887249
312.8745629758373,117.14285714285714,117.85714285714286,10132.0,70.85714285714286,885249
314.2901893096752,115.71428571428572,120.71428571428572,10131.5,69.28571428571429,876750
317.8511595871461,118.57142857142856,120.0,10132.75,72.85714285714286,879251
320.7145047580023,119.28571428571428,125.0,10136.25,75.57142857142857,891999
321.3928950751188,125.0,120.71428571428572,10138.25,77.0,886000
322.2099282930704,127.14285714285714,124.28571428571428,10142.0,73.28571428571429,881749
325.719188584072,127.14285714285714,129.28571428571428,10147.75,72.85714285714286,891252
325.01104558608284,130.0,129.28571428571428,10149.25,73.14285714285714,871500
327.8573739501647,133.57142857142858,135.71428571428572,10151.75,75.57142857142857,895002
332.80285622831366,139.28571428571428,137.14285714285714,10153.0,73.85714285714286,894250
329.28705085069305,132.85714285714286,139.28571428571428,10155.75,71.71428571428571,886751
336.45223454565246,132.14285714285714,131.42857142857142,10162.5,70.85714285714286,889750
338.6655562332064,123.57142857142856,120.66666666666669,10172.0,73.57142857142857,886251
339.36747487170777,120.66666666666669,118.0,10181.5,71.0,888500
344.6916205295204,115.33333333333331,110.66666666666669,10191.0,67.42857142857143,890501
353.3022324245467,109.33333333333331,107.33333333333331,10201.5,63.142857142857146,891751
352.0032531417449,99.33333333333331,94.0,10208.75,62.57142857142857,881499
349.99999999999994,91.33333333333331,88.0,10214.75,64.42857142857143,853000
348.7333372994101,86.66666666666667,87.33333333333333,10222.75,66.0,833499
347.9609402818656,83.33333333333333,82.0,10230.0,73.0,869501
345.9699463452039,86.0,90.66666666666669,10233.5,72.71428571428571,789750
348.9506109962317,85.33333333333333,82.0,10239.75,77.0,811250
3.8826617663559775,82.66666666666667,80.0,10248.75,79.42857142857143,547500
358.2197630385703,79.33333333333333,81.33333333333333,10255.5,73.42857142857143,685749
7.243395902524599,83.33333333333333,80.66666666666667,10265.5,78.57142857142857,734750
12.762909481350622,72.66666666666667,68.66666666666667,10271.0,81.57142857142857,653500
22.47185604297296,62.66666666666666,56.66666666666666,10279.75,81.85714285714286,680500
25.85153099312077,57.333333333333336,58.66666666666666,10288.75,81.28571428571429,552250
35.33690803479982,57.333333333333336,58.0,10301.75,78.14285714285714,489250
44.47199046018817,58.0,54.0,10311.75,74.14285714285714,463250
58.112837899745685,57.333333333333336,60.0,10323.0,69.42857142857143,464000
76.05169193638969,54.66666666666666,56.66666666666666,10331.5,65.85714285714286,354252
71.38161231920346,54.66666666666666,54.66666666666666,10335.0,60.85714285714285,336750
