,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-01 10:00:00,20170101,10,207.955828252494,59.0,59.0,10179.421052631578,95.15384615384616,2017-01-01-11,771684,771684,0.8959540128707886,0,0,2017-01-01-11,2017-01-01,2017-01,1,861298.6703719242,13.556331714651495,0.8959540128707886,0.0399
2017-01-01 11:00:00,20170101,11,206.619297402904,59.0,60.0,10173.631578947368,94.46153846153848,2017-01-01-12,749425,749425,0.8701069951057434,0,0,2017-01-01-12,2017-01-01,2017-01,1,861302.1205615328,13.527062859162092,0.8701069951057434,0.0424
2017-01-01 12:00:00,20170101,12,206.91097146883425,58.333333333333336,60.0,10169.842105263158,94.03846153846152,2017-01-01-13,755553,755553,0.8772249817848206,0,0,2017-01-01-13,2017-01-01,2017-01,1,861299.0004716188,13.535206533984468,0.8772249817848206,0.0496
2017-01-01 13:00:00,20170101,13,201.66025542241545,58.0,57.66666666666666,10167.368421052632,94.6153846153846,2017-01-01-14,687834,687834,0.7986019849777222,0,0,2017-01-01-14,2017-01-01,2017-01,1,861297.6337883606,13.441304262571332,0.7986019849777222,0.0487
2017-01-01 14:00:00,20170101,14,199.6532068198558,56.333333333333336,58.0,10166.736842105263,94.96153846153848,2017-01-01-15,404030,404030,0.46909299492836,0,0,2017-01-01-15,2017-01-01,2017-01,1,861300.4337481176,12.909246886672754,0.46909299492836,0.0374
2017-01-01 15:00:00,20170101,15,200.663226467336,56.0,55.66666666666666,10166.947368421052,94.57692307692308,2017-01-01-16,283064,283064,0.3286449909210205,0,0,2017-01-01-16,2017-01-01,2017-01,1,861306.296519899,12.553431832231306,0.3286449909210205,0.0373
2017-01-01 16:00:00,20170101,16,204.16115151460048,53.333333333333336,51.66666666666666,10168.0,94.73076923076924,2017-01-01-17,367659,367659,0.4268659949302673,0,0,2017-01-01-17,2017-01-01,2017-01,1,861298.4036361591,12.814913877036863,0.4268659949302673,0.0441
2017-01-01 17:00:00,20170101,17,209.237638119456,50.0,48.333333333333336,10169.578947368422,94.6153846153846,2017-01-01-18,313606,313606,0.3641059994697571,0,0,2017-01-01-18,2017-01-01,2017-01,1,861304.1269759367,12.655895888637842,0.3641059994697571,0.0516
2017-01-01 18:00:00,20170101,18,215.2950340635831,47.333333333333336,46.0,10173.105263157897,94.92307692307692,2017-01-01-19,177938,177938,0.2065940052270889,0,0,2017-01-01-19,2017-01-01,2017-01,1,861293.1425788947,12.0891960739111,0.2065940052270889,0.0591
2017-01-01 19:00:00,20170101,19,223.36701189899784,43.66666666666666,42.333333333333336,10177.842105263158,95.3846153846154,2017-01-01-20,154741,154741,0.1796569973230362,0,0,2017-01-01-20,2017-01-01,2017-01,1,861313.5157867776,11.949514492926214,0.1796569973230362,0.055
2017-01-01 20:00:00,20170101,20,230.1210882502216,39.333333333333336,37.333333333333336,10183.736842105263,96.0,2017-01-01-21,186714,186714,0.2167830020189285,0,0,2017-01-01-21,2017-01-01,2017-01,1,861294.4661763518,12.137338669098433,0.2167830020189285,0.052
